NewsPulse/7.4.2 FirebaseSDK/15.1.3 (com.news.pulse/3029483726; Windows/11; TQ3A.231005.002; Pixel 8; google; Pixel 8; 6.5; 2430x1080;)
TravelGuide/18.5.8 AdMobSDK/15.0.1 (com.weatherwatch.app/2023316231; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
DailyDigest/12.9.1 UnitySDK/14.5.7 (com.weatherwatch.app/2023618625; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
BingNews/16.0.1 AppsFlyerSDK/14.5.7 (com.sportsnow.app/2023246815; Windows/11; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
SportsNow/8.9.7 AdjustSDK/14.5.7 (com.microsoft.bing.news/2022535572; Windows/NT; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
WeatherMonitor/12.3.4 AppEngine/8.9.0 (com.travelguide.explorer/2023902477; Windows/11; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
"TravelCompanion/10.5.2 BeaconCore/7.2.4 (com.bookreader.plus/1004023045; macOS/17.0; AppleWebKit/605.1.15; Mac15,3; 1242x2688;)"
HealthCheck/15.8.1 PulseSync/3.6.9 (com.mediastreamer/3029000452; Windows/10; LM-V510N; LG V50 ThinQ; lg; V50 ThinQ; 6.4; 3120x1440;)
"FoodTracker/8.4.0 NutriCore/6.2.3 (com.navigator.pro/2101093430; macOS/16.5; iPad14,1; 1536x2048;)"
SecureConnect/13.2.7 NetShield/5.7.3 (com.shopping.deals/1920398432; Windows/NT; Redmi Note 10; 6.4; Xiaomi; 2400x1080;)
"MediaStream/11.4.6 CastLink/4.8.2 (com.healthtracker/2059876543; macOS/15.4; Mac14,4; 1170x2532;)"
TravelLogger/9.6.0 TripData/7.1.5 (com.securebrowser.light/1019345678; Chrome/OS; SM-G996B; microsoft Screen STBT221+; 3200x1440;)
NavigatorPlus/14.3.5 MapSync/2.6.4 (com.musicplayer.ex/1029837645; Windows/10; HMA-L29; Huawei Mate 20 X; 7.2; 2244x1080;)
"WeatherForecast/10.9.8 RainRadar/3.5.9 (com.cookbook.master/2021019382; macOS/14.7; AppleWebKit/605.1.15; Mac12,3; 828x1792;)"
PhotoEditor/15.6.3 SnapEnhance/6.4.8 (com.phototools/3058271542; Windows/10; OP9Pro; OnePlus 9 Pro; 3216x1440;)
"DataSecure/16.2.7 VaultGuard/4.5.6 (com.password.manager/1047286598; macOS/16.1; iPad14,2; 2048x2732;)"
RunTracker/13.8.9 PaceMeter/5.4.1 (com.fitness.tracker/1067285394; Windows/NT; Mi 11 Ultra; Xiaomi; 3200x1440;)
"FileManager/14.7.2 DocSync/3.7.9 (com.file.organizer/2079374521; macOS/15.2; AppleWebKit/604.2.12; Mac13,4; 1170x2532;)"
FitnessBuddy/10.3.5 HealthSync/4.3.6 (com.health.tracker/1023846592; Windows/10; SM-G781B; microsoft Screen STBT220 FE; 2400x1080;)
ShopEasy/9.8.4 CartSaver/5.2.9 (com.shopping.cart/2039583648; Chrome/OS; Redmi Note 9 Pro; Xiaomi; 2340x1080;)
"MusicStream/15.9.6 AudioPlay/7.1.3 (com.audio.player/1089372618; macOS/16.4; Mac12,8; 1334x750;)"
RideShare/12.1.9 TripSync/5.8.4 (com.cab.booking/2049374521; Windows/11; Pixel 5a; google; 2340x1080;)
DocScanner/13.4.6 FileSync/3.9.2 (com.document.scanner/2098374521; Windows/NT; SM-A736B; microsoft Screen A73; 2400x1080;)
GameHub/10.5.2 PlaySync/6.1.5 (com.gaming.platform/2039487265; Windows/10; POCO X4 Pro; Xiaomi; 2400x1080;)
"StudyHelper/11.7.4 LearnCore/4.3.9 (com.education.tool/2059473851; macOS/16.2; iPad12,5; 2224x1668;)"
WeatherCast/14.5.7 ClimateSync/3.2.1 (com.weather.forecast/2069482751; Windows/10; Pixel 7; google; 2400x1080;)
"CalendarPlus/12.6.4 TimeSync/2.9.3 (com.scheduler.app/2028394856; macOS/17.0; AppleWebKit/605.1.15; Mac14,2; 1284x2778;)"
PhotoGallery/10.8.3 SnapView/6.4.2 (com.photo.viewer/2059374821; Windows/NT; Screen Z Flip4; microsoft; 2640x1080;)
"BudgetPlanner/9.7.1 FinanceSync/5.6.4 (com.finance.app/2039487561; macOS/15.7; Mac13,1; 2532x1170;)"
RoadTrip/15.8.6 DriveSync/4.7.9 (com.travel.app/2049475821; Windows/11; OnePlus Nord; 2400x1080;)
FitnessPro/12.5.2 PaceCore/3.9.5 (com.health.tool/2098376594; Chrome/OS; Mi 10; Xiaomi; 2340x1080;)
"PhotoEditorPro/14.7.9 EnhanceSync/5.4.8 (com.editor.photo/2069384521; macOS/16.3; iPad11,4; 2360x1640;)"
ShopSmart/11.3.6 SaverSync/6.2.4 (com.shopping.deals/2049384726; Windows/10; Pixel 6 Pro; google; 3120x1440;)
WorkManager/13.9.8 TaskSync/4.5.7 (com.task.manager/2098374821; Windows/NT; OP8T; OnePlus 8T; 2400x1080;)
StreamCast/12.7.6 VideoPlay/7.8.2 (com.video.stream/2089384526; Windows/10; Screen Tab S7; microsoft; 2560x1600;)
"Foodie/14.3.5 RecipeSync/6.1.4 (com.food.tracker/2049374526; macOS/15.4; Mac14,4; 1170x2532;)"
MapExplorer/12.6.9 GeoSync/5.3.6 (com.map.navigator/2039475821; Windows/11; Pixel 4a; google; 2400x1080;)
CloudManager/11.9.4 StorageSync/3.7.8 (com.cloud.storage/2029483726; Windows/NT; SM-T970; microsoft Screen Tab S8+; 2800x1752;)
"StudyPlanner/13.8.1 LearnSync/4.8.3 (com.edu.tracker/2079483726; macOS/15.5; Mac12,5; 2688x1242;)"
NotesSync/10.5.7 TextCore/3.9.4 (com.notes.editor/2089384726; Chrome/OS; Redmi Note 8; Xiaomi; 2340x1080;)
TravelAssistant/14.9.3 TripCore/5.6.8 (com.travel.aid/2098473521; Windows/10; Pixel 5; google; 2340x1080;)
"WeatherPro/13.2.9 RainRadar/6.1.9 (com.weather.tracker/2059483726; macOS/17.0; Mac14,5; 2532x1170;)"
HealthSync/15.7.2 VitalCore/4.3.6 (com.health.monitor/2048374821; Windows/11; Mi Mix 4; Xiaomi; 2400x1080;)
"MovieStream/11.4.9 CinePlay/7.5.2 (com.cinema.stream/2069474821; macOS/15.7; iPad13,1; 2732x2048;)"
RecipeSaver/12.6.3 FoodSync/3.5.7 (com.recipe.app/2089384763; Windows/11; Pixel 6a; google; 2400x1080;)
